ticker,name,category,target_weight,forward_yield,role
SCHD,Schwab U.S. Dividend Equity ETF,Core Dividend ETF,0.15,0.0310,Dividend growth engine and auto-rebalancing core
EPD,Enterprise Products Partners L.P.,Energy Midstream MLP,0.10,0.0580,High-yield infrastructure anchor
O,Realty Income Corporation,Net-Lease REIT,0.09,0.0570,Monthly net-lease real estate income anchor
ENB,Enbridge Inc.,Midstream and Utility,0.08,0.0570,Defensive pipeline and utility-like cash flow
MO,Altria Group Inc.,Consumer Staples King,0.08,0.0637,Primary equity yield driver; capped for concentration risk
FRT,Federal Realty Investment Trust,Retail REIT King,0.07,0.0415,Premium shopping-center REIT
NWN,Northwest Natural Holding Co.,Gas Utility King,0.06,0.0405,Regulated utility cash flow
KMB,Kimberly-Clark Corporation,Consumer Staples King,0.06,0.0520,Defensive consumer core
JNJ,Johnson and Johnson,Healthcare King,0.06,0.0198,High-quality healthcare safety core
DOV,Dover Corporation,Industrial King,0.04,0.0112,Capital compounder
EMR,Emerson Electric Co.,Industrial King,0.04,0.0149,Industrial quality reserve
PH,Parker-Hannifin Corporation,Industrial King,0.03,0.0086,Dividend growth driver
NDSN,Nordson Corporation,Industrial King,0.03,0.0121,High-ROIC compounder
HTO,H2O America ex-SJW,Water Utility King,0.03,0.0279,Water utility operational stability
PG,Procter and Gamble Co.,Consumer Staples King,0.03,0.0295,Global franchise staple core
KO,Coca-Cola Company,Consumer Staples King,0.02,0.0241,Defensive global beverage brand
GPC,Genuine Parts Company,Consumer Discretionary,0.02,0.0325,Position capped pending corporate action review
CASH,U.S. 3-Month Treasury Bills,Cash and Liquidity,0.03,0.0400,Liquidity and tax-timing reserve
